 frequency       z_mag          
 8.60993752e+05  1.20120000e+02 
 8.70963590e+05  1.20120000e+02 
 8.81048873e+05  1.20120000e+02 
 8.91250938e+05  1.20120000e+02 
 9.01571138e+05  1.20120000e+02 
 9.12010839e+05  1.20120000e+02 
 9.22571427e+05  1.20120000e+02 
 9.33254301e+05  1.20120000e+02 
 9.44060876e+05  1.20120000e+02 
 9.54992586e+05  1.20120000e+02 
 9.66050879e+05  1.20120000e+02 
 9.77237221e+05  1.20120000e+02 
 9.88553095e+05  1.20120000e+02 
 1.00000000e+06  1.20120000e+02 
 1.01157945e+06  1.20120000e+02 
 1.02329299e+06  1.20120000e+02 
 1.03514217e+06  1.20120000e+02 
 1.04712855e+06  1.20120000e+02 
 1.05925373e+06  1.20120000e+02 
 1.07151931e+06  1.20120000e+02 
 1.08392691e+06  1.20120000e+02 
 1.09647820e+06  1.20120000e+02 
 1.10917482e+06  1.20120000e+02 
 1.12201845e+06  1.20120000e+02 
 1.13501082e+06  1.20120000e+02 
 1.14815362e+06  1.20120000e+02 
 1.16144861e+06  1.20120000e+02 
 1.17489755e+06  1.20120000e+02 
 1.18850223e+06  1.20120000e+02 
 1.20226443e+06  1.20120000e+02 
 1.21618600e+06  1.20120000e+02 
 1.23026877e+06  1.20120000e+02 
 1.24451461e+06  1.20120000e+02 
 1.25892541e+06  1.20120000e+02 
 1.27350308e+06  1.20120000e+02 
 1.28824955e+06  1.20120000e+02 
 1.30316678e+06  1.20120000e+02 
 1.31825674e+06  1.20120000e+02 
 1.33352143e+06  1.20120000e+02 
 1.34896288e+06  1.20120000e+02 
 1.36458314e+06  1.20120000e+02 
 1.38038426e+06  1.20120000e+02 
 1.39636836e+06  1.20120000e+02 
 1.41253754e+06  1.20120000e+02 
 1.42889396e+06  1.20120000e+02 
 1.44543977e+06  1.20120000e+02 
 1.46217717e+06  1.20120000e+02 
 1.47910839e+06  1.20120000e+02 
 1.49623566e+06  1.20120000e+02 
 1.51356125e+06  1.20120000e+02 
 1.53108746e+06  1.20120000e+02 
 1.54881662e+06  1.20120000e+02 
 1.56675107e+06  1.20120000e+02 
 1.58489319e+06  1.20120000e+02 
 1.60324539e+06  1.20120000e+02 
 1.62181010e+06  1.20120000e+02 
 1.64058977e+06  1.20120000e+02 
 1.65958691e+06  1.20120000e+02 
 1.67880402e+06  1.20120000e+02 
 1.69824365e+06  1.20120000e+02 
 1.71790839e+06  1.20120000e+02 
 1.73780083e+06  1.20120000e+02 
 1.75792361e+06  1.20120000e+02 
 1.77827941e+06  1.20120000e+02 
 1.79887092e+06  1.20120000e+02 
 1.81970086e+06  1.20120000e+02 
 1.84077200e+06  1.20120000e+02 
 1.86208714e+06  1.20120000e+02 
 1.88364909e+06  1.20120000e+02 
 1.90546072e+06  1.20120000e+02 
 1.92752491e+06  1.20120000e+02 
 1.94984460e+06  1.20120000e+02 
 1.97242274e+06  1.20120000e+02 
 1.99526231e+06  1.20120000e+02 
 2.01836636e+06  1.20120000e+02 
 2.04173794e+06  1.20120000e+02 
 2.06538016e+06  1.20120000e+02 
 2.08929613e+06  1.20120000e+02 
 2.11348904e+06  1.20120000e+02 
 2.13796209e+06  1.20120000e+02 
 2.16271852e+06  1.20120000e+02 
 2.18776162e+06  1.20120000e+02 
 2.21309471e+06  1.20120000e+02 
 2.23872114e+06  1.20120000e+02 
 2.26464431e+06  1.20120000e+02 
 2.29086765e+06  1.20120000e+02 
 2.31739465e+06  1.20120000e+02 
 2.34422882e+06  1.20120000e+02 
 2.37137371e+06  1.20120000e+02 
 2.39883292e+06  1.20120000e+02 
 2.42661010e+06  1.20120000e+02 
 2.45470892e+06  1.20120000e+02 
 2.48313311e+06  1.20120000e+02 
 2.51188643e+06  1.20120000e+02 
 2.54097271e+06  1.20120000e+02 
 2.57039578e+06  1.20120000e+02 
 2.60015956e+06  1.20120000e+02 
 2.63026799e+06  1.20120000e+02 
 2.66072506e+06  1.20120000e+02 
 2.69153480e+06  1.20120000e+02 
 2.72270131e+06  1.20120000e+02 
 2.75422870e+06  1.20120000e+02 
 2.78612117e+06  1.20120000e+02 
 2.81838293e+06  1.20120000e+02 
 2.85101827e+06  1.20120000e+02 
 2.88403150e+06  1.20120000e+02 
 2.91742701e+06  1.20120000e+02 
 2.95120923e+06  1.20120000e+02 
 2.98538262e+06  1.20120000e+02 
